Port Name,State,Port Code,Border,Date,Measure,Value,Year,Month,DayOfWeek
Lynden,WA,3023,US-Canada Border,2017-08-01,Truck Containers Empty,2847,2017,Aug,Tue
Dunseith,ND,3422,US-Canada Border,2000-08-01,Truck Containers Empty,86,2000,Aug,Tue
Beecher Falls,VT,206,US-Canada Border,2007-04-01,Pedestrians,8,2007,Apr,Sun
Hidalgo,TX,2305,US-Mexico Border,2002-04-01,Personal Vehicle Passengers,1403853,2002,Apr,Mon
Jackman,ME,104,US-Canada Border,2012-11-01,Personal Vehicles,8314,2012,Nov,Thu
Eastport,ME,103,US-Canada Border,2005-06-01,Truck Containers Full,220,2005,Jun,Wed
Norton,VT,211,US-Canada Border,2017-07-01,Trains,20,2017,Jul,Sat
Northgate,ND,3406,US-Canada Border,2016-09-01,Personal Vehicle Passengers,2539,2016,Sep,Thu
Detroit,MI,3801,US-Canada Border,2006-08-01,Buses,2837,2006,Aug,Tue
Boundary,WA,3015,US-Canada Border,2008-01-01,Train Passengers,38,2008,Jan,Tue
Detroit,MI,3801,US-Canada Border,2018-09-01,Personal Vehicles,334660,2018,Sep,Sat
Del Bonita,MT,3322,US-Canada Border,2019-04-01,Buses,1,2019,Apr,Mon
Norton,VT,211,US-Canada Border,2017-07-01,Rail Containers Empty,206,2017,Jul,Sat
Fort Kent,ME,110,US-Canada Border,2010-09-01,Truck Containers Empty,706,2010,Sep,Wed
Eastport,ID,3302,US-Canada Border,2017-10-01,Trains,125,2017,Oct,Sun
Del Rio,TX,2302,US-Mexico Border,2009-03-01,Personal Vehicles,128294,2009,Mar,Sun
Laurier,WA,3016,US-Canada Border,2018-11-01,Truck Containers Full,218,2018,Nov,Thu
Van Buren,ME,108,US-Canada Border,2002-03-01,Personal Vehicle Passengers,40947,2002,Mar,Fri
Walhalla,ND,3407,US-Canada Border,1999-04-01,Personal Vehicle Passengers,3701,1999,Apr,Thu
Lancaster,MN,3430,US-Canada Border,2010-06-01,Bus Passengers,59,2010,Jun,Tue
Portal,ND,3403,US-Canada Border,2008-12-01,Bus Passengers,304,2008,Dec,Mon
Laurier,WA,3016,US-Canada Border,2003-01-01,Rail Containers Empty,12,2003,Jan,Wed
Piegan,MT,3316,US-Canada Border,2010-01-01,Truck Containers Full,82,2010,Jan,Fri
Douglas,AZ,2601,US-Mexico Border,2015-05-01,Trucks,2526,2015,May,Fri
Laurier,WA,3016,US-Canada Border,2007-07-01,Bus Passengers,96,2007,Jul,Sun
Fort Fairfield,ME,107,US-Canada Border,1998-05-01,Personal Vehicle Passengers,43749,1998,May,Fri
Roma,TX,2310,US-Mexico Border,2019-06-01,Personal Vehicles,54953,2019,Jun,Sat
Roma,TX,2310,US-Mexico Border,1996-04-01,Truck Containers Empty,529,1996,Apr,Mon
Walhalla,ND,3407,US-Canada Border,2010-07-01,Bus Passengers,14,2010,Jul,Thu
San Ysidro,CA,2504,US-Mexico Border,2004-09-01,Personal Vehicles,1422652,2004,Sep,Wed
Roma,TX,2310,US-Mexico Border,2011-01-01,Personal Vehicle Passengers,103782,2011,Jan,Sat
Laredo,TX,2304,US-Mexico Border,1998-04-01,Trucks,110964,1998,Apr,Wed
Hannah,ND,3408,US-Canada Border,2008-02-01,Truck Containers Empty,2,2008,Feb,Fri
Norton,VT,211,US-Canada Border,2007-05-01,Rail Containers Empty,410,2007,May,Tue
Hansboro,ND,3415,US-Canada Border,2007-08-01,Personal Vehicle Passengers,2294,2007,Aug,Wed
Laurier,WA,3016,US-Canada Border,2017-11-01,Trains,14,2017,Nov,Wed
Skagway,AK,3103,US-Canada Border,2000-10-01,Bus Passengers,28,2000,Oct,Sun
El Paso,TX,2402,US-Mexico Border,2010-08-01,Trucks,61607,2010,Aug,Sun
Roseau,MN,3426,US-Canada Border,2000-04-01,Trucks,858,2000,Apr,Sat
Calais,ME,115,US-Canada Border,2008-06-01,Trucks,7136,2008,Jun,Sun
Sweetgrass,MT,3310,US-Canada Border,2004-06-01,Personal Vehicles,18650,2004,Jun,Tue
Willow Creek,MT,3325,US-Canada Border,2018-10-01,Personal Vehicles,184,2018,Oct,Mon
Sumas,WA,3009,US-Canada Border,2019-05-01,Rail Containers Full,139,2019,May,Wed
Tecate,CA,2505,US-Mexico Border,2019-03-01,Personal Vehicles,92015,2019,Mar,Fri
Northgate,ND,3406,US-Canada Border,2019-10-01,Trucks,864,2019,Oct,Tue
Piegan,MT,3316,US-Canada Border,2007-05-01,Bus Passengers,283,2007,May,Tue
Roseau,MN,3426,US-Canada Border,2001-05-01,Buses,5,2001,May,Tue
Carbury,ND,3421,US-Canada Border,2017-05-01,Personal Vehicles,819,2017,May,Mon
Sherwood,ND,3414,US-Canada Border,2009-03-01,Truck Containers Empty,265,2009,Mar,Sun
Norton,VT,211,US-Canada Border,1997-07-01,Bus Passengers,241,1997,Jul,Tue
El Paso,TX,2402,US-Mexico Border,2018-09-01,Truck Containers Empty,15866,2018,Sep,Sat
Otay Mesa,CA,2506,US-Mexico Border,2003-06-01,Trucks,60000,2003,Jun,Sun
Nogales,AZ,2604,US-Mexico Border,2016-01-01,Trains,60,2016,Jan,Fri
International Falls-Ranier,MN,3604,US-Canada Border,2001-10-01,Personal Vehicle Passengers,72626,2001,Oct,Mon
Neche,ND,3404,US-Canada Border,2003-10-01,Trucks,1739,2003,Oct,Wed
Bridgewater,ME,127,US-Canada Border,2013-03-01,Trucks,742,2013,Mar,Fri
Eastport,ID,3302,US-Canada Border,1999-05-01,Buses,39,1999,May,Sat
Houlton,ME,106,US-Canada Border,2009-12-01,Personal Vehicle Passengers,48121,2009,Dec,Tue
Eastport,ME,103,US-Canada Border,2005-06-01,Bus Passengers,1560,2005,Jun,Wed
Hannah,ND,3408,US-Canada Border,1996-10-01,Personal Vehicle Passengers,766,1996,Oct,Tue
Port Huron,MI,3802,US-Canada Border,2018-09-01,Trucks,71916,2018,Sep,Sat
Otay Mesa,CA,2506,US-Mexico Border,2009-04-01,Personal Vehicles,335693,2009,Apr,Wed
Hidalgo,TX,2305,US-Mexico Border,2006-02-01,Pedestrians,161314,2006,Feb,Wed
Andrade,CA,2502,US-Mexico Border,2008-12-01,Personal Vehicle Passengers,79859,2008,Dec,Mon
Otay Mesa,CA,2506,US-Mexico Border,2009-04-01,Truck Containers Empty,19467,2009,Apr,Wed
Alexandria Bay,NY,708,US-Canada Border,1996-03-01,Truck Containers Full,127,1996,Mar,Fri
